收起左侧栏 | 56,109 32x32
Chat | 99,109 116x32
Work | 217,109 116x32
＋  新对话 Ctrl N | 56,155 280x38
⌕  搜索 Ctrl K | 56,196 280x38
对话 | 56,256 280x22
月伴对话 | 58,280 244x32
更多操作 月伴对话 | 302,281 30x30
你可以帮我写代码吗？ | 58,312 244x31
更多操作 你可以帮我写代码吗？ | 302,312 30x31
今天合肥的天气怎么样 | 58,343 244x31
更多操作 今天合肥的天气怎么样 | 302,343 30x31
创建技能 | 58,374 244x31
更多操作 创建技能 | 302,374 30x31
我现在安装了这么多技能和MCP，请把他们自动匹配到我对应的专家身上 | 58,405 244x31
更多操作 我现在安装了这么多技能和MCP，请把他们自动匹配到我对应的专家身上 | 302,405 30x31
创建能力包 | 58,436 244x31
更多操作 创建能力包 | 302,436 30x31
[引用技能 find-skills|01M2NKHWHN6C8BRS11GGCK5MVC] 帮我找到ppt-master 这个skills 给我技能中心安装上 | 58,467 244x31
更多操作 [引用技能 find-skills|01M2NKHWHN6C8BRS11GGCK5MVC] 帮我找到ppt-master 这个skills 给我技能中心安装上 | 302,467 30x31
创建技能 | 58,498 244x31
更多操作 创建技能 | 302,498 30x31
https://weixin.qq.com/sph/AAhxQhaVWA 帮我解读总结视频内容 | 58,529 244x31
更多操作 https://weixin.qq.com/sph/AAhxQhaVWA 帮我解读总结视频内容 | 302,529 30x31
https://weixin.qq.com/sph/AAhxQhaVWA 帮我分析下这个视频讲的什么内容，帮我总结一下 | 58,560 244x31
更多操作 https://weixin.qq.com/sph/AAhxQhaVWA 帮我分析下这个视频讲的什么内容，帮我总结一下 | 302,560 30x31
创建技能 | 58,591 244x31
更多操作 创建技能 | 302,591 30x31
帮我打开桌面汽水音乐，随机播放一首歌曲 | 58,622 244x31
更多操作 帮我打开桌面汽水音乐，随机播放一首歌曲 | 302,622 30x31
帮我打开桌面汽水音乐，随机播放一首歌曲 | 58,653 244x31
更多操作 帮我打开桌面汽水音乐，随机播放一首歌曲 | 302,653 30x31
创建专家 | 58,684 244x31
更多操作 创建专家 | 302,684 30x31
创建技能 | 58,715 244x31
更多操作 创建技能 | 302,715 30x31
帮我参考附件，自己思考做一个10页的PPT | 58,746 244x31
更多操作 帮我参考附件，自己思考做一个10页的PPT | 302,746 30x31
帮我在桌面创建一个文件夹，名字叫可可 | 58,777 244x31
更多操作 帮我在桌面创建一个文件夹，名字叫可可 | 302,777 30x31
你可以帮我做什么 | 58,808 244x31
更多操作 你可以帮我做什么 | 302,808 30x31
你能帮我做什么 | 58,839 244x31
更多操作 你能帮我做什么 | 302,839 30x31
你可以帮我做什么 | 58,870 244x31
更多操作 你可以帮我做什么 | 302,870 30x31
自动化执行 | 58,901 244x31
更多操作 自动化执行 | 302,901 30x31
你好，你可以帮我做什么 | 58,932 244x31
更多操作 你好，你可以帮我做什么 | 302,932 30x31
办公 | 56,558 280x23
办公工作台 | 56,583 265x39
自动化 | 56,623 265x39
媒体中心 | 56,663 265x39
同事聊天 | 56,703 265x39
会议记录 | 56,743 265x39
设置 | 56,723 280x31
打开我的资料 | 56,772 172x41
切换到白天模式 | 233,772 40x41
切换到英文 | 278,772 58x41
添加上下文 | 416,509 31x33
执行模式 | 454,509 84x33
glm-5.3 ⌄ | 545,509 75x33
开始对话 | 1208,509 33x33
月伴对话 纯语音交流：你说话，月汐回答，像聊天一样 | 399,575 279x75
项目管理 创建、查看或继续已有项目 | 689,575 279x75
恢复对话 回到最近一次普通聊天 | 979,575 279x75
ringing_short.mp3命令已发送，待核验 · 0:00 | 778,760 366x38
暂停 | 1152,761 58x36
关闭 | 1218,761 58x36
